,place,count_ret,count_not,attrition_frac
0,Arizona State University,26,14,0.35
1,Auburn University,12,6,0.333333333333
2,"Binghamton University, SUNY",14,5,0.263157894737
3,Boston University,17,2,0.105263157895
4,Brandeis University,10,2,0.166666666667
5,Brigham Young University,18,10,0.357142857143
6,Brown University,16,10,0.384615384615
7,California Institute of Technology,1,15,0.9375
8,Carleton University,22,6,0.214285714286
9,Carnegie Mellon University,74,51,0.408
10,Case Western Reserve University,10,4,0.285714285714
11,Catholic University of America,3,2,0.4
12,"City University of New York, Graduate Center",6,1,0.142857142857
13,Claremont Graduate University,2,3,0.6
14,Clarkson University,4,2,0.333333333333
15,Clemson University,17,13,0.433333333333
16,College of William & Mary,10,5,0.333333333333
17,Colorado School of Mines,3,3,0.5
18,Colorado State University,20,5,0.2
19,Columbia University,32,9,0.219512195122
20,Concordia University,25,9,0.264705882353
21,Cornell University,38,17,0.309090909091
22,Dalhousie University,18,18,0.5
23,Dartmouth College,13,4,0.235294117647
24,DePaul University,37,18,0.327272727273
25,Drexel University,9,12,0.571428571429
26,Duke University,15,9,0.375
27,Florida Atlantic University,13,5,0.277777777778
28,Florida Institute of Technology,8,9,0.529411764706
29,Florida International University,20,5,0.2
30,Florida State University,14,2,0.125
31,George Mason University,35,6,0.146341463415
32,George Washington University,11,11,0.5
33,Georgia Institute of Technology,25,64,0.719101123596
34,Georgia State University,13,2,0.133333333333
35,Harvard University,16,5,0.238095238095
36,Illinois Institute of Technology,11,7,0.388888888889
37,Indiana University,32,28,0.466666666667
38,Iowa State University,21,5,0.192307692308
39,Johns Hopkins University,13,5,0.277777777778
40,Kansas State University,7,10,0.588235294118
41,Kent State University,13,5,0.277777777778
42,Lehigh University,9,7,0.4375
43,Long Island University,4,1,0.2
44,Louisiana State University,11,6,0.352941176471
45,Massachusetts Institute of Technology,32,43,0.573333333333
46,McGill University,26,15,0.365853658537
47,McMaster University,16,6,0.272727272727
48,Memorial University of Newfoundland,19,9,0.321428571429
49,Michigan State University,20,11,0.354838709677
50,Michigan Technological University,9,7,0.4375
51,Mississippi State University,9,9,0.5
52,Missouri University of Science & Technology,7,10,0.588235294118
53,Montana State University,7,3,0.3
54,Naval Postgraduate School,16,9,0.36
55,New Jersey Institute of Technology,22,3,0.12
56,New Mexico State University,8,2,0.2
57,New Mexico Tech,5,1,0.166666666667
58,New York University,25,6,0.193548387097
59,North Carolina State University,27,16,0.372093023256
60,North Dakota State University,10,6,0.375
61,Northeastern University,28,9,0.243243243243
62,Northwestern University,17,17,0.5
63,Nova Southeastern University,12,12,0.5
64,Oakland University,9,3,0.25
65,Ohio State University,22,11,0.333333333333
66,Ohio University,7,2,0.222222222222
67,Oklahoma State University,7,4,0.363636363636
68,Old Dominion University,11,5,0.3125
69,Oregon Health & Science University,4,8,0.666666666667
70,Oregon State University,13,7,0.35
71,Pace University,11,6,0.352941176471
72,Pennsylvania State University,21,17,0.447368421053
73,Polytechnic Institute of New York University,12,5,0.294117647059
74,Portland State University,19,5,0.208333333333
75,Princeton University,22,7,0.241379310345
76,Purdue University,35,12,0.255319148936
77,Queen's University,12,23,0.657142857143
78,Rensselaer Polytechnic Institute,16,17,0.515151515152
79,Rice University,17,1,0.0555555555556
80,Rochester Institute of Technology,17,9,0.346153846154
81,Rutgers University,26,13,0.333333333333
82,Santa Clara University,8,1,0.111111111111
