,title_2011,place_2011,title_2017,place_2017,sex,guid
0,Assistant Professor,Dartmouth College,,,M,be49977642f740edbce2e5f55dbc0297
1,Associate Professor,University of Kansas,,,M,480f1efa35f94529926206fa58fe28a3
2,Associate Professor,Indiana University,,,M,118facd51d78441186cdd4f3041e3428
3,Full Professor,Massachusetts Institute of Technology,,,M,5b86808d7cb04543b5283ce24f4ff614
4,Associate Professor,Northwestern University,,,M,a276b3120d8545dbb4e771a4dab0a0b4
5,Associate Professor,Temple University,,,M,40fb6349c3694d3da6650aafdfa31c74
6,Full Professor,"University of Albany, SUNY",,,M,b43de9fbca3f49d2a1b17e6e5e4e6a90
7,Full Professor,Dalhousie University,,,M,4829a9a10e8b4b77a0a12010cdfdab3c
8,Full Professor,Northwestern University,,,M,bba3310cfd13408db620dface35c21c0
9,Full Professor,Carnegie Mellon University,,,M,c05f0ed20fc64c709c6f1a840006ca60
10,Full Professor,University of Waterloo,,,M,bc7b4173db784b68ba1e5ddd57e3de6f
11,Associate Professor,Stanford University,,,M,9ab16777cc0d405ca5d592e5e7a23ed3
12,Full Professor,Georgia Institute of Technology,,,M,e1d4c77f2a0a48a3aa859c1ad9e309c7
13,Full Professor,Simon Fraser University,,,M,d45aab1d161244bc964fcd4dcf6ca387
14,Associate Professor,University of North Texas,,,F,cb9e7aeaa0d44cfd9587446566dde9c0
15,Full Professor,"University of California, Los Angeles",,,M,22eb821e651241dda605eae7c1b0a657
16,Assistant Professor,University of Southern Mississippi,,,M,b7b569323c4441a192bb24a3df6da139
17,Full Professor,Massachusetts Institute of Technology,,,F,c06cee254c394c21a93b88ba668bfb43
18,Assistant Professor,University of Memphis,,,M,573f9c1d79774061b5b049b3975c0bbb
19,Full Professor,"University of Texas, Dallas",,,M,f4222f8397b94036a319f18230bf665b
20,Full Professor,Boston University,,,M,fd58ec6206e94850ad5c56cbd5486ad7
21,Full Professor,University of Alberta,,,M,9d168b273864444fa118139bb489b4f8
22,Associate Professor,Drexel University,,,M,5153d822afa94b8fb69faeb20431a133
23,Associate Professor,Michigan State University,,,M,a893daacc0cc4cc0a33c5c720879e492
24,Full Professor,Lehigh University,,,M,71fcbfbffd444ab7912ad46ab67f03d1
25,Assistant Professor,North Carolina State University,,,M,50421eb40dfe47679dc3d5f79377a78b
26,Full Professor,Massachusetts Institute of Technology,,,M,756eadd7a78f4ca2a97bfcb737a7025f
27,Full Professor,"Washington University, St. Louis",,,M,726a10cd07af48d8b3abddfedf419b6d
28,Full Professor,Carnegie Mellon University,,,M,9fe1a20cf3ba4bde849e6250f0665a75
29,Full Professor,Johns Hopkins University,,,M,84c75b88a9304e2aaffbf2c6dea4d56a
30,Full Professor,Carnegie Mellon University,,,M,406a9bad6c574cb9814a54fb5c88ef1d
31,Associate Professor,University of Minnesota,,,F,5202ee7013a7481b99e8ba544caf8293
32,Assistant Professor,Colorado School of Mines,,,M,01ad50f55c3540e3bee10a8184ba8c40
33,Assistant Professor,McGill University,,,M,489a9a05a2584ef4a2928765fe2f533f
34,Associate Professor,"University of California, Irvine",,,M,ffe550690821426693ab0aeffdd6e04d
35,Full Professor,"University of North Carolina, Charlotte",,,M,3642e3ed35194a90ba12aa736a1ad39c
36,Assistant Professor,"Toyota Technological Institute, Chicago",,,M,527410f7c47948a1aac78498c85d2f94
37,Full Professor,Naval Postgraduate School,,,M,e52293de7c614ba7b0604d20399a44f0
38,Associate Professor,Washington State University,,,M,2ca926907b04479bb8df7679d44a42f4
39,Full Professor,Wright State University,,,M,fdb4f94e70cf48c4a561d5b07eaeb342
40,Associate Professor,Texas Tech University,,,M,540b9049b133499c8a40769f4b897ecc
41,Full Professor,"University of Texas, San Antonio",,,M,f5c328dd5104419ca8e2b2d7c3df202c
42,Assistant Professor,Michigan State University,,,M,8b73ccc6da56479ea5cdf8716d80c5fa
43,Associate Professor,Oregon Health & Science University,,,M,251d82dabac347f89d241f7b7be16acd
44,Associate Professor,"University of Illinois, Urbana Champaign",,,M,2dc6c45143d04bed8ae88dbdd063a800
45,Associate Professor,McMaster University,,,M,0cb4537b1b384d7b81c848143f2acb9b
46,Assistant Professor,"University of Arkansas, Little Rock",,,M,88271459cb844770aa0e24fe7f2393b2
47,Associate Professor,Western Michigan University,,,M,0331272a3ed04148b707e4e7e61787d3
48,Associate Professor,Drexel University,,,M,4d8e4215984b4d4f9b87b7345b5067c0
49,Full Professor,University of Rochester,,,M,47608667a0e242919dba5a37fb97487d
50,Associate Professor,"University of Buffalo, SUNY",,,M,cf90ed7c3f7744c5801d84905e89321d
51,Full Professor,University of Calgary,,,F,adc715cec6c042b6ad17b94d01de4486
52,Assistant Professor,"University of Illinois, Urbana Champaign",,,M,3154711af37142e791966420a82443a9
53,Associate Professor,DePaul University,,,M,516570bb795241299f4e85b1c2da1991
54,Full Professor,Massachusetts Institute of Technology,,,F,ccd081a79dff48b4b4be8db606b88bef
55,Full Professor,Cornell University,,,M,12d1038f63554301992cd9edac9de8d3
56,Associate Professor,Northeastern University,,,F,84933657365b4b03ad837986cb9d4438
57,Full Professor,University of Alberta,,,F,dd90902419a54995a36e33417cfc077c
58,Full Professor,Rensselaer Polytechnic Institute,,,M,0fbfde2d33474ef1a9fe9d3353ef84a9
59,Full Professor,University of Central Florida,,,M,be1821eed8e048fbb7208a7d2a664f8c
60,Full Professor,Florida Institute of Technology,,,M,764f10efbf4646018eb795eefc7381f2
61,Full Professor,University of Toronto,,,M,08fa8fb9e66e47558926c9d759a4b742
62,Full Professor,Nova Southeastern University,,,F,ff74c16edb3d465fab8e2896813ccd33
63,Associate Professor,Illinois Institute of Technology,,,F,91118be6c67e4885ac78705e4b93b3c2
64,Assistant Professor,Carleton University,,,M,ae4b1d00f6cf4979a45f6df944e0c8ab
65,Full Professor,"University of Tennessee, Knoxville",,,M,68f0ae60d7754f048724d6b523ddb540
66,Full Professor,Carnegie Mellon University,,,M,8292bb05d68241e7928eeeb0bef97efb
67,Full Professor,"University of California, Irvine",,,M,68a5e081fe5f47f5826d9dac611d0001
68,Full Professor,"University of Illinois, Chicago",,,M,7a38acc29515427eb2e0e948b0d12d20
69,Associate Professor,Kansas State University,,,M,fa2909ad1bb24343a37e70ff3c8a3945
70,Full Professor,University of Delaware,,,M,dcdd5c75e7c5483890f30bbe7c8e6ffe
71,Associate Professor,Clemson University,,,M,fd379010489045ac8a9f10275d4958ac
72,Full Professor,University of Maryland,,,M,c672dcd3ecd0481c888362d8b9519262
73,Full Professor,Duke University,,,F,9e5581ca0d8d4e3093bd8bb6f08e358e
74,Full Professor,"Southern Illinois University, Carbondale",,,M,150ae2963d70413abc846f6d795eda3b
75,Full Professor,California Institute of Technology,,,M,1844da8263f94fb9a524d87ca017a9db
76,Full Professor,Iowa State University,,,M,936e8ca8d4a84b8e9252f563698e38b1
77,Full Professor,"University of Arkansas, Fayetteville",,,M,5047702af5ff4522b88869c71dd30765
78,Associate Professor,Worcester Polytechnic Institute,,,M,f7ce121cbfe341ebbe4da5eefd72679e
79,Assistant Professor,Queen's University,,,M,2387aa3698564f5999c00877b1737cca
80,Full Professor,University of Michigan,,,F,daab9bcf5d76484f8c378e5bdbadfc69
81,Associate Professor,"University of Texas, San Antonio",,,M,bd4887a5336940798ab7cda483a40904
82,Associate Professor,Rutgers University,,,M,aa2a8d84378f4e008ddb32e0cc5580bb
83,Full Professor,Georgia Institute of Technology,,,M,9abc3e3f4c6f4f59aa44be64a6dce443
84,Full Professor,University of Central Florida,,,M,ae833d05c7bc49199c1713184c388f1e
85,Associate Professor,University of Western Ontario,,,M,ed592ee4c89449d4ab53ce60acebf447
86,Full Professor,"University of Texas, Austin",,,F,d56184e13e294e6a87be47f5df0da45e
87,Assistant Professor,Purdue University,,,M,f6c87a0cc053400c8b188d181a953a10
88,Associate Professor,"University of Texas, Dallas",,,M,5780d47d441243c8960884af8487dfc2
89,Full Professor,"University of Tennessee, Knoxville",,,M,0a2e4b06aaf64311ade64072d53ce947
90,Assistant Professor,California Institute of Technology,,,M,1f5c9cfedf534e65a4dc6477ab7efe94
91,Associate Professor,Worcester Polytechnic Institute,,,M,3906e90075bb46209aedbba6449e63e3
