,place,count_ret,count_not,retained_frac
0,Arizona State University,26,14,0.65
1,Auburn University,12,6,0.666666666667
2,"Binghamton University, SUNY",14,5,0.736842105263
3,Boston University,17,2,0.894736842105
4,Brandeis University,10,2,0.833333333333
5,Brigham Young University,18,10,0.642857142857
6,Brown University,16,10,0.615384615385
7,California Institute of Technology,1,15,0.0625
8,Carleton University,22,6,0.785714285714
9,Carnegie Mellon University,74,51,0.592
10,Case Western Reserve University,10,4,0.714285714286
11,Catholic University of America,3,2,0.6
12,"City University of New York, Graduate Center",6,1,0.857142857143
13,Claremont Graduate University,2,3,0.4
14,Clarkson University,4,2,0.666666666667
15,Clemson University,17,13,0.566666666667
16,College of William & Mary,10,5,0.666666666667
17,Colorado School of Mines,3,3,0.5
18,Colorado State University,20,5,0.8
19,Columbia University,32,9,0.780487804878
20,Concordia University,25,9,0.735294117647
21,Cornell University,38,17,0.690909090909
22,Dalhousie University,18,18,0.5
23,Dartmouth College,13,4,0.764705882353
24,DePaul University,37,18,0.672727272727
25,Drexel University,9,12,0.428571428571
26,Duke University,15,9,0.625
27,Florida Atlantic University,13,5,0.722222222222
28,Florida Institute of Technology,8,9,0.470588235294
29,Florida International University,20,5,0.8
30,Florida State University,14,2,0.875
31,George Mason University,35,6,0.853658536585
32,George Washington University,11,11,0.5
33,Georgia Institute of Technology,25,64,0.280898876404
34,Georgia State University,13,2,0.866666666667
35,Harvard University,16,5,0.761904761905
36,Illinois Institute of Technology,11,7,0.611111111111
37,Indiana University,32,28,0.533333333333
38,Iowa State University,21,5,0.807692307692
39,Johns Hopkins University,13,5,0.722222222222
40,Kansas State University,7,10,0.411764705882
41,Kent State University,13,5,0.722222222222
42,Lehigh University,9,7,0.5625
43,Long Island University,4,1,0.8
44,Louisiana State University,11,6,0.647058823529
45,Massachusetts Institute of Technology,32,43,0.426666666667
46,McGill University,26,15,0.634146341463
47,McMaster University,16,6,0.727272727273
48,Memorial University of Newfoundland,19,9,0.678571428571
49,Michigan State University,20,11,0.645161290323
50,Michigan Technological University,9,7,0.5625
51,Mississippi State University,9,9,0.5
52,Missouri University of Science & Technology,7,10,0.411764705882
53,Montana State University,7,3,0.7
54,Naval Postgraduate School,16,9,0.64
55,New Jersey Institute of Technology,22,3,0.88
56,New Mexico State University,8,2,0.8
57,New Mexico Tech,5,1,0.833333333333
58,New York University,25,6,0.806451612903
59,North Carolina State University,27,16,0.627906976744
60,North Dakota State University,10,6,0.625
61,Northeastern University,28,9,0.756756756757
62,Northwestern University,17,17,0.5
63,Nova Southeastern University,12,12,0.5
64,Oakland University,9,3,0.75
65,Ohio State University,22,11,0.666666666667
66,Ohio University,7,2,0.777777777778
67,Oklahoma State University,7,4,0.636363636364
68,Old Dominion University,11,5,0.6875
69,Oregon Health & Science University,4,8,0.333333333333
70,Oregon State University,13,7,0.65
71,Pace University,11,6,0.647058823529
72,Pennsylvania State University,21,17,0.552631578947
73,Polytechnic Institute of New York University,12,5,0.705882352941
74,Portland State University,19,5,0.791666666667
75,Princeton University,22,7,0.758620689655
76,Purdue University,35,12,0.744680851064
77,Queen's University,12,23,0.342857142857
78,Rensselaer Polytechnic Institute,16,17,0.484848484848
79,Rice University,17,1,0.944444444444
80,Rochester Institute of Technology,17,9,0.653846153846
81,Rutgers University,26,13,0.666666666667
82,Santa Clara University,8,1,0.888888888889
83,Simon Fraser University,30,13,0.697674418605
84,"Southern Illinois University, Carbondale",7,5,0.583333333333
85,Southern Methodist University,9,5,0.642857142857
86,Stanford University,33,19,0.634615384615
87,Stevens Institute of Technology,6,7,0.461538461538
88,"Stony Brook University, SUNY",23,12,0.657142857143
89,Syracuse University,7,7,0.5
90,Temple University,7,16,0.304347826087
91,Texas A&M University,25,11,0.694444444444
92,Texas Tech University,10,7,0.588235294118
93,"Toyota Technological Institute, Chicago",7,2,0.777777777778
94,Tufts University,13,2,0.866666666667
95,"University of Alabama, Birmingham",5,5,0.5
96,"University of Alabama, Huntsville",6,6,0.5
97,"University of Alabama, Tuscaloosa",9,8,0.529411764706
98,"University of Albany, SUNY",7,7,0.5
99,University of Alberta,36,10,0.782608695652
100,University of Arizona,11,2,0.846153846154
101,"University of Arkansas, Fayetteville",9,5,0.642857142857
102,"University of Arkansas, Little Rock",7,3,0.7
103,University of Bridgeport,7,4,0.636363636364
104,University of British Columbia,32,14,0.695652173913
105,"University of Buffalo, SUNY",22,8,0.733333333333
106,University of Calgary,20,15,0.571428571429
107,"University of California, Berkeley",36,10,0.782608695652
108,"University of California, Davis",27,6,0.818181818182
109,"University of California, Irvine",31,12,0.720930232558
110,"University of California, Los Angeles",22,14,0.611111111111
111,"University of California, Riverside",17,4,0.809523809524
112,"University of California, San Diego",26,20,0.565217391304
113,"University of California, Santa Barbara",21,10,0.677419354839
114,"University of California, Santa Cruz",13,11,0.541666666667
115,University of Central Florida,19,9,0.678571428571
116,University of Chicago,13,9,0.590909090909
117,University of Cincinnati,5,2,0.714285714286
118,"University of Colorado, Boulder",18,12,0.6
119,"University of Colorado, Colorado Springs",5,5,0.5
120,"University of Colorado, Denver",7,0,1.0
121,University of Connecticut,16,6,0.727272727273
122,University of Delaware,18,6,0.75
123,University of Denver,10,0,1.0
124,University of Florida,23,11,0.676470588235
125,University of Georgia,16,4,0.8
126,University of Hawaii,17,9,0.653846153846
127,University of Houston,15,11,0.576923076923
128,University of Idaho,6,4,0.6
129,"University of Illinois, Chicago",19,6,0.76
130,"University of Illinois, Urbana Champaign",38,17,0.690909090909
131,University of Iowa,15,2,0.882352941176
132,University of Kansas,12,7,0.631578947368
133,University of Kentucky,15,5,0.75
134,"University of Louisiana, Lafayette",9,6,0.6
135,University of Louisville,10,5,0.666666666667
136,University of Maine,4,3,0.571428571429
137,University of Manitoba,14,8,0.636363636364
138,University of Maryland,27,19,0.586956521739
139,"University of Maryland, Baltimore County",18,5,0.782608695652
140,"University of Massachusetts, Amherst",26,15,0.634146341463
141,"University of Massachusetts, Boston",11,1,0.916666666667
142,"University of Massachusetts, Lowell",8,6,0.571428571429
143,University of Memphis,5,8,0.384615384615
144,University of Miami,5,2,0.714285714286
145,University of Michigan,36,17,0.679245283019
146,University of Minnesota,30,6,0.833333333333
147,University of Mississippi,2,2,0.5
148,"University of Missouri, Columbia",12,6,0.666666666667
149,"University of Missouri, Kansas City",13,2,0.866666666667
150,University of Montreal,29,7,0.805555555556
151,"University of Nebraska, Lincoln",16,11,0.592592592593
152,"University of Nebraska, Omaha",11,4,0.733333333333
153,"University of Nevada, Las Vegas",10,1,0.909090909091
154,"University of Nevada, Reno",8,5,0.615384615385
155,University of New Brunswick,13,5,0.722222222222
156,University of New Hampshire,5,5,0.5
157,University of New Mexico,11,6,0.647058823529
158,"University of North Carolina, Chapel Hill",22,6,0.785714285714
159,"University of North Carolina, Charlotte",11,13,0.458333333333
160,University of North Texas,15,6,0.714285714286
161,University of Notre Dame,11,9,0.55
162,University of Oklahoma,13,2,0.866666666667
163,University of Oregon,9,6,0.6
164,University of Ottawa,29,7,0.805555555556
165,University of Pennsylvania,18,12,0.6
166,University of Pittsburgh,15,5,0.75
167,University of Regina,13,2,0.866666666667
168,University of Rhode Island,7,0,1.0
169,University of Rochester,12,12,0.5
170,University of Saskatchewan,21,3,0.875
171,University of South Carolina,19,3,0.863636363636
172,University of South Florida,10,9,0.526315789474
173,University of Southern California,19,10,0.655172413793
174,University of Southern Mississippi,5,12,0.294117647059
175,"University of Tennessee, Knoxville",14,5,0.736842105263
176,"University of Texas, Arlington",19,11,0.633333333333
177,"University of Texas, Austin",26,17,0.604651162791
178,"University of Texas, Dallas",30,12,0.714285714286
179,"University of Texas, El Paso",9,5,0.642857142857
180,"University of Texas, San Antonio",12,11,0.521739130435
181,University of Toledo,5,2,0.714285714286
182,University of Toronto,36,18,0.666666666667
183,University of Tulsa,8,2,0.8
184,University of Utah,25,9,0.735294117647
185,University of Victoria,19,10,0.655172413793
186,University of Virginia,14,9,0.608695652174
187,University of Washington,33,16,0.673469387755
188,University of Waterloo,42,27,0.608695652174
189,University of Western Ontario,19,7,0.730769230769
190,"University of Wisconsin, Madison",29,11,0.725
191,"University of Wisconsin, Milwaukee",11,4,0.733333333333
192,University of Wyoming,4,5,0.444444444444
193,Utah State University,8,6,0.571428571429
194,Vanderbilt University,8,8,0.5
195,Virginia Commonwealth University,4,7,0.363636363636
196,Virginia Tech,24,15,0.615384615385
197,Washington State University,8,9,0.470588235294
198,"Washington University, St. Louis",15,7,0.681818181818
