	empirical	truth	fraction
University of Oklahoma -> Gone	2.0	2.0	1.0
New Mexico State University -> Gone	2.0	0.0	0.0
University of Notre Dame -> Gone	2.0	2.0	1.0
University of North Carolina, Charlotte -> Gone	2.0	2.0	1.0
Northeastern University -> Gone	2.0	1.0	0.5
Lehigh University -> Gone	2.0	1.0	0.5
University of Utah -> Gone	7.0	7.0	1.0
Syracuse University -> Gone	2.0	2.0	1.0
University of Toronto -> Gone	6.0	6.0	1.0
University of New Brunswick -> Gone	4.0	4.0	1.0
George Mason University -> Gone	2.0	0.0	0.0
Simon Fraser University -> Gone	1.0	0.0	0.0
Old Dominion University -> Gone	0.0	0.0	
Michigan State University -> Gone	0.0	0.0	
Concordia University -> Gone	0.0	0.0	
Florida Atlantic University -> Gone	1.0	0.0	0.0
University of North Carolina, Chapel Hill -> Gone	2.0	2.0	1.0
Stanford University -> Gone	1.0	1.0	1.0
University of California, Los Angeles -> Gone	2.0	2.0	1.0
University of Nevada, Reno -> Gone	1.0	1.0	1.0
Indiana University -> Gone	6.0	2.0	0.333333333333
University of Virginia -> Gone	3.0	3.0	1.0
Vanderbilt University -> Gone	1.0	1.0	1.0
University of Ottawa -> Gone	6.0	6.0	1.0
Northwestern University -> Gone	0.0	0.0	
North Carolina State University -> Gone	0.0	0.0	
University of Arkansas, Little Rock -> Gone	2.0	2.0	1.0
California Institute of Technology -> Gone	2.0	2.0	1.0
Missouri University of Science & Technology -> Gone	1.0	1.0	1.0
University of Texas, Arlington -> Gone	1.0	1.0	1.0
Colorado State University -> Gone	1.0	1.0	1.0
Duke University -> Gone	2.0	0.0	0.0
University of Texas, El Paso -> Gone	1.0	1.0	1.0
York University -> Gone	1.0	1.0	1.0
University of California, Berkeley -> Gone	3.0	3.0	1.0
University of Oregon -> Gone	1.0	1.0	1.0
Naval Postgraduate School -> Gone	3.0	3.0	1.0
Western Michigan University -> Gone	1.0	1.0	1.0
University of British Columbia -> Gone	6.0	6.0	1.0
University of Florida -> Gone	2.0	2.0	1.0
Rochester Institute of Technology -> Gone	6.0	6.0	1.0
University of Rhode Island -> Gone	1.0	1.0	1.0
